project,source_excerpt,field,model_a,model_b,value_a,value_b,agree,verdict,correct_value
p5-2014-radar,"Table 1 (p. 17), raw text, columns A B C: Large Projects | RADAR N N N",source_locator,claude-sonnet,claude-haiku,Table 1 (p. 17); pp. 12-13,"Section 2.2, page 13",check,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",agency,claude-sonnet,claude-haiku,DOE-HEP (Fermilab),"DOE-HEP, NSF-PHY, Fermilab",no,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",size_class,claude-sonnet,claude-haiku,'Additional Small Projects' category in Table 1 (beyond the Small Projects Portfolio),Small,yes,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",rank_or_scenario,claude-sonnet,claude-haiku,"Y (Scenarios A, B, C)","Scenario A, B, C",check,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",science_driver,claude-sonnet,claude-haiku,Pursue the Physics Associated with Neutrino Mass,Pursue the physics associated with neutrino mass,yes,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",promise_quote,claude-sonnet,claude-haiku,Select and perform in the short term a set of small-scale short-baseline experiments that can conclusively address experimental hints of physics beyond the three-neutrino paradigm. Some of these experiments should use liquid argon to advance the technology and build the international community for LBNF at Fermilab.,Select and perform in the short term a set of small-scale short-baseline experiments that can conclusively address experimental hints of physics beyond the three-neutrino paradigm.,check,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",science_question,claude-sonnet,claude-haiku,Conclusively test short-baseline oscillation anomalies for evidence of sterile neutrinos or non-standard neutrino interactions beyond the three-flavor paradigm.,Test sterile neutrino hypothesis and search for physics beyond the three-neutrino paradigm,check,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",cost_at_ranking,claude-sonnet,claude-haiku,,,yes,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",cost_basis,claude-sonnet,claude-haiku,,,yes,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",target_date,claude-sonnet,claude-haiku,in the short term (no calendar year given),Short-term (near-term),no,,
p5-2014-sbn,"Table 1 (p. 17), raw text, columns A B C: Additional Small Projects | Short Baseline Neutrino Portfolio Y Y Y",source_locator,claude-sonnet,claude-haiku,Recommendation 15 (p. 12); Table 1 (p. 17),"Table 1, Recommendation 15",check,,
p5-2014-small-projects-portfolio,"Table 1 (p. 17), raw text, columns A B C: Medium Projects | Small Projects Portfolio Y Y Y",_row,claude-sonnet,claude-haiku,MISSING,present,no,,
p5-2014-water-cherenkov,Not in Table 1. p. 19 text on Scenario C,_row,claude-sonnet,claude-haiku,MISSING,present,no,,
